date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-18,-26,-16,-26,37,7,83,0.0,1016,-16,10,321,25,anadyr
2019-10-28 03:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-18,-26,-16,-26,38,12,82,0.0,1014,-16,10,322,25,anadyr
2019-10-28 06:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-18,-27,-16,-27,42,15,82,0.0,1011,-16,10,322,27,anadyr
2019-10-28 09:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-17,-25,-14,-25,45,15,78,0.0,1008,-14,10,322,31,anadyr
2019-10-28 12:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-18,-26,-15,-26,45,25,81,0.0,1005,-15,10,320,33,anadyr
2019-10-28 15:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-18,-26,-15,-26,47,25,80,0.0,1005,-15,10,317,35,anadyr
2019-10-28 18:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-18,-27,-16,-27,46,14,82,0.0,1005,-16,10,313,35,anadyr
2019-10-28 21:00:00,-14,-16,0.0,8.7,2,0,06:38 AM,04:44 PM,07:41 AM,04:06 PM,-17,-26,-15,-26,44,4,83,0.0,1006,-15,10,309,35,anadyr
2019-10-29 00:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-17,-25,-15,-25,40,5,86,0.0,1006,-15,10,311,26,anadyr
2019-10-29 03:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-17,-24,-15,-24,42,4,87,0.0,1008,-15,10,310,27,anadyr
2019-10-29 06:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-16,-24,-15,-24,40,3,86,0.0,1009,-15,10,311,26,anadyr
2019-10-29 09:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-16,-22,-13,-22,39,0,83,0.0,1010,-13,10,312,26,anadyr
2019-10-29 12:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-16,-23,-14,-23,36,0,82,0.0,1010,-14,10,310,25,anadyr
2019-10-29 15:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-17,-23,-15,-23,34,0,83,0.0,1012,-15,10,306,23,anadyr
2019-10-29 18:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-17,-24,-15,-24,30,0,83,0.0,1012,-15,10,301,20,anadyr
2019-10-29 21:00:00,-13,-16,0.0,8.6,2,1,08:27 AM,04:46 PM,07:44 AM,04:02 PM,-18,-25,-16,-25,27,2,83,0.0,1013,-16,10,299,18,anadyr
2019-10-30 00:00:00,-15,-16,0.0,8.1,2,8,10:16 AM,04:52 PM,07:48 AM,03:59 PM,-18,-25,-16,-25,30,5,85,0.0,1014,-16,10,302,19,anadyr
2019-10-30 03:00:00,-15,-16,0.0,8.1,2,8,10:16 AM,04:52 PM,07:48 AM,03:59 PM,-18,-25,-16,-25,28,5,87,0.0,1015,-16,10,309,17,anadyr
2019-10-30 06:00:00,-15,-16,0.0,8.1,2,8,10:16 AM,04:52 PM,07:48 AM,03:59 PM,-18,-24,-16,-24,24,9,86,0.0,1016,-16,10,315,14,anadyr
2019-10-30 09:00:00,-15,-16,0.0,8.1,2,8,10:16 AM,04:52 PM,07:48 AM,03:59 PM,-17,-21,-15,-21,21,12,83,0.0,1016,-15,10,316,13,anadyr
2019-10-30 12:00:00,-15,-16,0.0,8.1,2,8,10:16 AM,04:52 PM,07:48 AM,03:59 PM,-17,-21,-15,-21,21,17,85,0.0,1016,-15,10,318,14,anadyr
