date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,2,11,13,11,23,8,48,0.0,1020,13,10,211,11,astrakhan
2019-10-28 03:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,2,11,12,11,20,7,50,0.0,1019,12,10,218,9,astrakhan
2019-10-28 06:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,2,10,11,10,19,7,53,0.0,1018,11,10,204,9,astrakhan
2019-10-28 09:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,1,16,16,16,15,7,37,0.0,1018,16,10,199,11,astrakhan
2019-10-28 12:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,-0,20,20,20,15,6,26,0.0,1017,20,10,219,13,astrakhan
2019-10-28 15:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,0,20,20,20,17,5,27,0.0,1015,20,10,214,13,astrakhan
2019-10-28 18:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,3,15,15,15,26,3,43,0.0,1015,15,10,190,13,astrakhan
2019-10-28 21:00:00,20,11,0.0,8.7,5,0,07:14 AM,06:13 PM,07:23 AM,05:40 PM,5,13,13,13,24,3,55,0.0,1014,13,10,192,12,astrakhan
2019-10-29 00:00:00,17,11,0.0,5.4,4,1,08:32 AM,06:45 PM,07:24 AM,05:39 PM,4,12,12,12,21,5,56,0.0,1014,12,10,202,10,astrakhan
2019-10-29 03:00:00,17,11,0.0,5.4,4,1,08:32 AM,06:45 PM,07:24 AM,05:39 PM,3,11,12,11,17,11,55,0.0,1013,12,10,215,8,astrakhan
2019-10-29 06:00:00,17,11,0.0,5.4,4,1,08:32 AM,06:45 PM,07:24 AM,05:39 PM,4,11,11,11,15,29,59,0.0,1013,11,10,210,7,astrakhan
