date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-6,-7,-5,-7,11,62,92,0.0,1013,-5,10,321,6,chita
2019-10-28 03:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-8,-10,-7,-10,12,91,90,0.0,1014,-7,10,308,6,chita
2019-10-28 06:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-11,-11,-8,-11,10,49,81,0.1,1015,-8,10,282,6,chita
2019-10-28 09:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-12,-8,-4,-8,9,49,56,0.0,1013,-4,10,267,6,chita
2019-10-28 12:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-14,-5,-2,-5,9,44,36,0.0,1009,-2,10,269,8,chita
2019-10-28 15:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-12,-7,-4,-7,10,50,53,0.0,1010,-4,10,249,8,chita
2019-10-28 18:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-11,-6,-3,-6,9,100,55,0.0,1009,-3,10,216,5,chita
2019-10-28 21:00:00,-2,-8,0.1,9.9,2,0,07:45 AM,06:36 PM,08:12 AM,06:06 PM,-6,-7,-4,-7,8,70,89,0.1,1009,-4,7,192,4,chita
2019-10-29 00:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-6,-5,-5,-5,6,88,91,0.1,1009,-5,10,222,4,chita
2019-10-29 03:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-6,-7,-5,-7,8,41,92,0.0,1008,-5,10,199,4,chita
2019-10-29 06:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-5,-6,-4,-6,9,100,91,0.0,1008,-4,10,192,5,chita
2019-10-29 09:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-2,-2,-1,-2,10,100,91,0.7,1005,-1,2,186,6,chita
2019-10-29 12:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-1,1,3,1,9,100,73,1.3,1004,3,2,211,8,chita
2019-10-29 15:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-1,-2,1,-2,15,100,90,0.1,1005,1,5,243,11,chita
2019-10-29 18:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-2,-4,-0,-4,21,20,91,0.1,1006,-0,7,266,13,chita
2019-10-29 21:00:00,3,-5,2.0,6.6,1,1,09:10 AM,07:01 PM,08:14 AM,06:04 PM,-3,-4,-2,-4,20,19,92,0.0,1005,-2,10,249,10,chita
2019-10-30 00:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-2,-3,-1,-3,15,100,90,0.0,1003,-1,10,224,7,chita
2019-10-30 03:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-1,-2,1,-2,16,56,86,0.0,1000,1,10,202,8,chita
2019-10-30 06:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,0,-1,2,-1,21,100,87,0.0,999,2,10,232,10,chita
2019-10-30 09:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-2,2,7,2,35,100,55,0.0,999,7,10,251,22,chita
2019-10-30 12:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-6,-2,4,-2,54,8,47,0.0,1003,4,10,281,43,chita
2019-10-30 15:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-6,-4,1,-4,49,8,59,0.0,1006,1,10,288,39,chita
2019-10-30 18:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-10,-9,-2,-9,46,9,56,0.0,1011,-2,10,292,32,chita
2019-10-30 21:00:00,7,-3,0.0,9.9,1,8,10:32 AM,07:32 PM,08:16 AM,06:02 PM,-8,-9,-3,-9,41,8,68,0.0,1014,-3,10,293,28,chita
2019-10-31 00:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-11,-11,-5,-11,37,0,62,0.0,1017,-5,10,293,24,chita
2019-10-31 03:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-12,-12,-6,-12,33,0,63,0.0,1020,-6,10,291,21,chita
2019-10-31 06:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-12,-12,-6,-12,30,3,61,0.0,1023,-6,10,292,19,chita
2019-10-31 09:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-12,-7,-2,-7,22,4,46,0.0,1023,-2,10,301,15,chita
2019-10-31 12:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-11,-3,1,-3,17,6,41,0.0,1023,1,10,303,14,chita
2019-10-31 15:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-10,-7,-4,-7,15,12,59,0.0,1024,-4,10,294,11,chita
2019-10-31 18:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-11,-7,-5,-7,11,28,66,0.0,1026,-5,10,275,5,chita
2019-10-31 21:00:00,1,-6,0.0,9.8,2,12,11:50 AM,08:08 PM,08:18 AM,06:00 PM,-10,-7,-5,-7,6,22,68,0.0,1025,-5,10,233,3,chita
2019-11-01 00:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-10,-7,-6,-7,8,17,72,0.0,1024,-6,10,175,4,chita
2019-11-01 03:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-8,-6,-5,-6,9,22,77,0.0,1023,-5,10,196,4,chita
2019-11-01 06:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-6,-6,-4,-6,9,50,83,0.0,1023,-4,10,219,4,chita
2019-11-01 09:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-2,2,5,2,8,41,64,0.0,1020,5,10,243,5,chita
2019-11-01 12:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-1,5,8,5,12,17,55,0.0,1019,8,10,283,10,chita
2019-11-01 15:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-1,-0,2,-0,15,11,82,0.0,1021,2,10,319,11,chita
2019-11-01 18:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-3,-1,-1,-1,9,52,87,0.0,1024,-1,10,246,4,chita
2019-11-01 21:00:00,8,-6,0.0,8.7,2,24,12:58 PM,08:54 PM,08:19 AM,05:59 PM,-4,-5,-2,-5,7,26,84,0.0,1026,-2,10,73,3,chita
2019-11-02 00:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-6,-6,-3,-6,12,45,81,0.0,1029,-3,10,96,6,chita
2019-11-02 03:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-8,-7,-4,-7,9,47,73,0.0,1030,-4,10,101,5,chita
2019-11-02 06:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-11,-7,-4,-7,10,97,60,0.0,1032,-4,10,108,6,chita
2019-11-02 09:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-16,-4,-1,-4,10,100,32,0.0,1032,-1,10,123,7,chita
2019-11-02 12:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-12,-3,1,-3,12,34,37,0.0,1030,1,10,132,10,chita
2019-11-02 15:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-10,-5,-2,-5,13,16,54,0.0,1031,-2,10,133,10,chita
2019-11-02 18:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-9,-7,-4,-7,13,24,65,0.0,1032,-4,10,114,6,chita
2019-11-02 21:00:00,1,-5,0.0,7.0,2,31,01:56 PM,09:48 PM,08:21 AM,05:57 PM,-11,-7,-5,-7,10,24,60,0.0,1031,-5,10,114,5,chita
2019-11-03 00:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-12,-7,-5,-7,9,18,57,0.0,1031,-5,10,122,4,chita
2019-11-03 03:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-13,-7,-6,-7,7,13,56,0.0,1030,-6,10,128,4,chita
2019-11-03 06:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-13,-5,-5,-5,5,8,56,0.0,1029,-5,10,126,3,chita
2019-11-03 09:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-9,-1,1,-1,4,8,47,0.0,1026,1,10,134,3,chita
2019-11-03 12:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-6,2,4,2,5,8,49,0.0,1023,4,10,160,4,chita
2019-11-03 15:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-6,-3,-1,-3,8,6,66,0.0,1022,-1,10,147,5,chita
2019-11-03 18:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-6,-4,-2,-4,10,17,72,0.0,1022,-2,10,126,5,chita
2019-11-03 21:00:00,4,-6,0.0,8.7,2,39,02:42 PM,10:48 PM,08:23 AM,05:55 PM,-5,-2,-1,-2,8,100,73,0.0,1020,-1,10,154,4,chita
2019-11-04 00:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-1,-3,0,-3,13,53,93,0.5,1020,0,5,230,7,chita
2019-11-04 03:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-5,-5,-1,-5,22,43,75,0.0,1022,-1,10,268,13,chita
2019-11-04 06:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-11,-9,-3,-9,29,8,54,0.1,1025,-3,7,291,18,chita
2019-11-04 09:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-14,-8,-1,-8,36,13,37,0.0,1028,-1,10,302,26,chita
2019-11-04 12:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-15,-9,-2,-9,35,16,37,0.0,1029,-2,10,304,30,chita
2019-11-04 15:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-15,-11,-5,-11,30,17,45,0.0,1031,-5,10,305,24,chita
2019-11-04 18:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-14,-13,-7,-13,24,9,54,0.0,1033,-7,10,301,15,chita
2019-11-04 21:00:00,-1,-8,0.5,8.7,1,46,03:18 PM,11:53 PM,08:25 AM,05:53 PM,-14,-12,-8,-12,16,8,63,0.0,1034,-8,10,290,10,chita
2019-11-05 00:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-14,-12,-9,-12,8,29,68,0.0,1033,-9,10,274,5,chita
2019-11-05 03:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-14,-12,-10,-12,5,48,68,0.0,1030,-10,10,225,3,chita
2019-11-05 06:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-14,-10,-8,-10,5,89,61,0.0,1029,-8,10,156,3,chita
2019-11-05 09:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-16,-8,-6,-8,5,100,43,0.0,1026,-6,10,129,4,chita
2019-11-05 12:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-17,-5,-4,-5,6,57,35,0.0,1023,-4,10,138,5,chita
2019-11-05 15:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-13,-6,-6,-6,6,100,58,0.0,1023,-6,10,141,5,chita
2019-11-05 18:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-12,-7,-7,-7,5,56,69,0.0,1024,-7,10,123,3,chita
2019-11-05 21:00:00,-4,-10,0.0,5.2,2,54,03:46 PM,No moonset,08:27 AM,05:51 PM,-11,-10,-8,-10,3,44,77,0.0,1025,-8,10,157,2,chita
2019-11-06 00:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-12,-12,-9,-12,10,59,75,0.0,1025,-9,10,277,6,chita
2019-11-06 03:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-13,-13,-9,-13,11,68,69,0.0,1026,-9,10,295,6,chita
2019-11-06 06:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-14,-14,-10,-14,12,8,71,0.0,1029,-10,10,301,6,chita
2019-11-06 09:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-18,-11,-6,-11,12,5,37,0.0,1029,-6,10,317,8,chita
2019-11-06 12:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-20,-10,-4,-10,14,47,27,0.0,1028,-4,10,328,12,chita
2019-11-06 15:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-18,-10,-7,-10,14,34,42,0.0,1028,-7,10,325,11,chita
2019-11-06 18:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-15,-10,-7,-10,8,51,54,0.0,1028,-7,10,304,4,chita
2019-11-06 21:00:00,-4,-10,0.0,8.7,2,61,04:09 PM,12:59 AM,08:28 AM,05:50 PM,-13,-11,-8,-11,8,100,66,0.0,1026,-8,10,261,4,chita
2019-11-07 00:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-12,-11,-9,-11,7,18,76,0.0,1023,-9,10,246,4,chita
2019-11-07 03:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-11,-11,-8,-11,7,31,83,0.0,1020,-8,10,225,4,chita
2019-11-07 06:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-7,-8,-3,-8,8,100,71,0.0,1018,-3,10,224,4,chita
2019-11-07 09:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-7,-4,2,-4,8,67,53,0.0,1013,2,10,232,5,chita
2019-11-07 12:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-6,-3,3,-3,14,47,54,0.0,1013,3,10,264,11,chita
2019-11-07 15:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-6,-5,-1,-5,26,25,67,0.0,1017,-1,10,301,19,chita
2019-11-07 18:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-7,-7,-4,-7,22,38,78,0.0,1020,-4,10,310,11,chita
2019-11-07 21:00:00,3,-9,0.0,6.9,2,69,04:28 PM,02:06 AM,08:30 AM,05:48 PM,-7,-7,-5,-7,14,44,82,0.0,1021,-5,10,303,7,chita
2019-11-08 00:00:00,3,-5,0.0,8.7,1,76,04:46 PM,03:13 AM,08:32 AM,05:46 PM,-7,-7,-5,-7,8,68,82,0.0,1021,-5,10,254,4,chita
2019-11-08 03:00:00,3,-5,0.0,8.7,1,76,04:46 PM,03:13 AM,08:32 AM,05:46 PM,-7,-8,-5,-8,10,60,91,0.0,1020,-5,10,242,5,chita
2019-11-08 06:00:00,3,-5,0.0,8.7,1,76,04:46 PM,03:13 AM,08:32 AM,05:46 PM,-6,-8,-5,-8,10,57,91,0.0,1021,-5,10,233,5,chita
