date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,1,2,6,2,46,39,73,0.5,992,6,5,277,31,ekaterinburg
2019-10-28 03:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,0,-0,4,-0,38,77,78,0.5,995,4,2,280,26,ekaterinburg
2019-10-28 06:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,1,2,3,2,25,100,87,0.0,994,3,10,274,17,ekaterinburg
2019-10-28 09:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,4,2,6,2,18,100,90,0.4,990,6,2,244,12,ekaterinburg
2019-10-28 12:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,7,6,10,6,21,100,83,0.5,986,10,2,204,14,ekaterinburg
2019-10-28 15:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,6,6,10,6,40,84,76,0.8,983,10,9,244,26,ekaterinburg
2019-10-28 18:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,2,4,8,4,43,44,67,0.3,987,8,5,258,30,ekaterinburg
2019-10-28 21:00:00,10,3,0.0,3.6,2,0,07:39 AM,06:00 PM,07:58 AM,05:25 PM,-1,-2,4,-2,41,47,71,0.3,992,4,5,274,28,ekaterinburg
2019-10-29 00:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-3,-5,1,-5,43,63,78,0.3,998,1,5,281,31,ekaterinburg
2019-10-29 03:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-6,-8,-3,-8,35,76,76,0.4,1005,-3,2,299,26,ekaterinburg
2019-10-29 06:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-7,-7,-2,-7,26,88,70,0.0,1008,-2,10,296,19,ekaterinburg
2019-10-29 09:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-8,-6,-2,-6,19,41,64,0.0,1012,-2,10,289,15,ekaterinburg
2019-10-29 12:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-8,-5,-1,-5,15,65,58,0.0,1014,-1,10,281,13,ekaterinburg
2019-10-29 15:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-5,-2,1,-2,12,1,65,0.0,1015,1,10,277,11,ekaterinburg
2019-10-29 18:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-7,-4,-2,-4,8,7,71,0.0,1017,-2,10,276,7,ekaterinburg
2019-10-29 21:00:00,1,-3,0.6,7.0,1,1,09:10 AM,06:19 PM,08:00 AM,05:22 PM,-7,-3,-2,-3,7,9,71,0.0,1017,-2,10,272,5,ekaterinburg
2019-10-30 00:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-7,-4,-3,-4,5,13,71,0.0,1016,-3,10,238,4,ekaterinburg
2019-10-30 03:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-8,-5,-4,-5,5,65,73,0.0,1017,-4,10,239,4,ekaterinburg
2019-10-30 06:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-7,-5,-4,-5,5,74,77,0.0,1016,-4,10,257,3,ekaterinburg
2019-10-30 09:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-8,-5,-2,-5,5,58,65,0.0,1016,-2,10,292,4,ekaterinburg
2019-10-30 12:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-9,-3,-1,-3,4,22,53,0.0,1016,-1,10,322,4,ekaterinburg
2019-10-30 15:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-8,-2,-1,-2,4,4,60,0.0,1017,-1,10,268,3,ekaterinburg
2019-10-30 18:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-8,-6,-3,-6,6,13,68,0.0,1016,-3,10,96,5,ekaterinburg
2019-10-30 21:00:00,-1,-4,0.0,8.7,2,8,10:38 AM,06:44 PM,08:02 AM,05:20 PM,-8,-7,-4,-7,12,83,71,0.0,1016,-4,10,108,8,ekaterinburg
2019-10-31 00:00:00,-5,-7,10.2,3.4,1,12,12:00 PM,07:18 PM,08:04 AM,05:18 PM,-9,-8,-4,-8,13,100,68,0.0,1014,-4,10,100,10,ekaterinburg
2019-10-31 03:00:00,-5,-7,10.2,3.4,1,12,12:00 PM,07:18 PM,08:04 AM,05:18 PM,-9,-10,-4,-10,18,100,66,0.0,1011,-4,10,96,14,ekaterinburg
2019-10-31 06:00:00,-5,-7,10.2,3.4,1,12,12:00 PM,07:18 PM,08:04 AM,05:18 PM,-7,-11,-5,-11,24,100,84,0.7,1008,-5,2,79,19,ekaterinburg
2019-10-31 09:00:00,-5,-7,10.2,3.4,1,12,12:00 PM,07:18 PM,08:04 AM,05:18 PM,-7,-12,-5,-12,28,100,89,2.6,1005,-5,2,61,22,ekaterinburg
