date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-9,-8,-3,-8,19,49,62,0.0,1015,-3,10,153,12,irkutsk
2019-10-28 03:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-9,-6,-2,-6,23,49,57,0.0,1011,-2,10,159,15,irkutsk
2019-10-28 06:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-7,-5,-1,-5,22,94,62,0.0,1010,-1,10,157,14,irkutsk
2019-10-28 09:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-5,0,3,0,14,54,54,0.0,1008,3,10,159,9,irkutsk
2019-10-28 12:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-1,7,8,7,9,63,53,0.0,1005,8,10,193,6,irkutsk
2019-10-28 15:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-0,4,6,4,10,45,64,0.0,1006,6,10,197,5,irkutsk
2019-10-28 18:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-0,3,4,3,15,37,76,0.0,1007,4,10,158,7,irkutsk
2019-10-28 21:00:00,8,-3,0.0,7.0,2,0,07:25 AM,06:13 PM,07:50 AM,05:43 PM,-1,2,2,2,15,13,79,0.0,1007,2,10,152,7,irkutsk
2019-10-29 00:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,-2,0,2,0,11,17,76,0.0,1006,2,10,154,5,irkutsk
2019-10-29 03:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,-2,3,3,3,15,29,67,0.0,1004,3,10,191,7,irkutsk
2019-10-29 06:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,-2,3,4,3,15,14,66,0.0,1006,4,10,266,8,irkutsk
2019-10-29 09:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,0,7,8,7,8,13,59,0.0,1007,8,10,287,5,irkutsk
2019-10-29 12:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,1,9,10,9,5,13,52,0.0,1005,10,10,216,4,irkutsk
2019-10-29 15:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,1,6,8,6,14,48,61,0.0,1004,8,10,153,8,irkutsk
2019-10-29 18:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,1,5,7,5,18,20,64,0.0,1004,7,10,160,9,irkutsk
2019-10-29 21:00:00,10,2,0.0,8.7,3,1,08:49 AM,06:38 PM,07:52 AM,05:41 PM,1,4,7,4,15,29,65,0.0,1004,7,10,183,7,irkutsk
2019-10-30 00:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,-0,6,8,6,26,21,55,0.0,1003,8,10,222,12,irkutsk
2019-10-30 03:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,1,2,6,2,30,61,74,0.6,1006,6,5,316,19,irkutsk
2019-10-30 06:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,1,-0,3,-0,24,89,88,2.2,1012,3,2,301,18,irkutsk
2019-10-30 09:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,2,2,5,2,27,85,83,0.4,1013,5,2,304,21,irkutsk
2019-10-30 12:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,0,0,5,0,29,82,72,0.8,1016,5,9,319,24,irkutsk
2019-10-30 15:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,-2,-0,3,-0,21,75,67,0.1,1019,3,10,327,16,irkutsk
2019-10-30 18:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,-6,-3,0,-3,13,45,65,0.1,1025,0,10,325,9,irkutsk
2019-10-30 21:00:00,5,-1,2.0,3.7,2,8,10:12 AM,07:08 PM,07:54 AM,05:39 PM,-6,-2,-1,-2,8,42,70,0.0,1026,-1,10,325,5,irkutsk
2019-10-31 00:00:00,6,-2,0.0,8.7,2,12,11:30 AM,07:45 PM,07:55 AM,05:37 PM,-7,-3,-2,-3,4,47,69,0.0,1027,-2,10,182,3,irkutsk
