date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,7,7,10,7,36,72,82,0.0,994,10,10,236,24,kazan
2019-10-28 03:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,7,6,10,6,45,100,82,0.0,991,10,10,238,31,kazan
2019-10-28 06:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,7,8,12,8,49,100,75,0.0,992,12,10,246,33,kazan
2019-10-28 09:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,1,5,10,5,51,14,56,0.1,994,10,10,254,35,kazan
2019-10-28 12:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,-1,1,7,1,51,49,57,0.0,998,7,10,273,37,kazan
2019-10-28 15:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,-1,-2,4,-2,49,75,70,0.1,1004,4,0,286,36,kazan
2019-10-28 18:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,-4,-4,1,-4,40,21,71,0.0,1007,1,10,303,29,kazan
2019-10-28 21:00:00,12,0,0.0,7.0,2,0,06:25 AM,04:49 PM,06:40 AM,04:13 PM,-3,-3,0,-3,26,56,79,0.0,1010,0,10,313,18,kazan
2019-10-29 00:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-3,-2,-0,-2,14,80,80,0.0,1012,-0,10,314,10,kazan
2019-10-29 03:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-4,-3,-1,-3,10,76,80,0.0,1013,-1,10,319,7,kazan
2019-10-29 06:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-4,-1,0,-1,9,89,73,0.0,1015,0,10,305,6,kazan
2019-10-29 09:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-4,-1,1,-1,11,71,67,0.1,1016,1,7,297,9,kazan
2019-10-29 12:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-5,-1,1,-1,14,52,65,0.1,1016,1,7,290,11,kazan
2019-10-29 15:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-4,-2,-0,-2,12,24,77,0.0,1016,-0,10,290,9,kazan
2019-10-29 18:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-4,-1,-0,-1,7,12,77,0.0,1017,-0,9,286,5,kazan
2019-10-29 21:00:00,1,-1,0.2,7.0,1,1,07:55 AM,05:11 PM,06:42 AM,04:11 PM,-5,-4,-1,-4,5,48,77,0.0,1015,-1,10,239,3,kazan
2019-10-30 00:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-5,-5,-2,-5,16,33,80,0.0,1015,-2,10,128,10,kazan
2019-10-30 03:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-4,-6,-2,-6,24,82,83,0.0,1013,-2,10,136,15,kazan
2019-10-30 06:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-4,-5,1,-5,30,100,73,0.0,1011,1,10,157,19,kazan
2019-10-30 09:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-3,-3,3,-3,34,94,65,0.0,1010,3,10,163,24,kazan
2019-10-30 12:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-3,-2,3,-2,31,100,66,0.0,1008,3,10,163,22,kazan
2019-10-30 15:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-3,-3,1,-3,27,100,74,0.0,1007,1,10,159,18,kazan
2019-10-30 18:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-2,-3,1,-3,27,44,80,0.1,1006,1,7,152,18,kazan
2019-10-30 21:00:00,3,-2,0.2,3.6,2,8,09:21 AM,05:38 PM,06:44 AM,04:09 PM,-3,-4,-0,-4,20,37,81,0.1,1005,-0,7,142,13,kazan
2019-10-31 00:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-4,-5,-1,-5,21,63,81,0.1,1004,-1,7,100,14,kazan
2019-10-31 03:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-5,-6,-2,-6,18,71,76,0.1,1006,-2,10,73,13,kazan
2019-10-31 06:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-7,-5,-1,-5,14,100,67,0.2,1006,-1,5,44,11,kazan
2019-10-31 09:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-8,-5,0,-5,15,59,55,0.0,1008,0,10,20,13,kazan
2019-10-31 12:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-8,-6,-1,-6,20,100,57,0.0,1009,-1,10,123,15,kazan
2019-10-31 15:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-8,-9,-3,-9,25,53,68,0.0,1011,-3,10,354,18,kazan
2019-10-31 18:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-8,-10,-4,-10,25,88,73,0.0,1013,-4,10,347,18,kazan
2019-10-31 21:00:00,0,-4,0.3,7.0,1,12,10:41 AM,06:12 PM,06:46 AM,04:07 PM,-8,-10,-4,-10,24,100,75,0.0,1015,-4,10,338,18,kazan
2019-11-01 00:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-8,-12,-5,-12,25,100,77,0.0,1016,-5,10,332,18,kazan
2019-11-01 03:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-10,-13,-7,-13,26,41,79,0.0,1018,-7,10,323,18,kazan
2019-11-01 06:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-10,-13,-7,-13,23,11,75,0.0,1019,-7,10,314,16,kazan
2019-11-01 09:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-10,-10,-5,-10,19,18,64,0.0,1019,-5,10,295,15,kazan
2019-11-01 12:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-10,-10,-5,-10,19,49,67,0.0,1019,-5,10,269,15,kazan
2019-11-01 15:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-8,-11,-4,-11,23,100,74,0.0,1018,-4,10,236,16,kazan
2019-11-01 18:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-8,-10,-3,-10,30,100,71,0.1,1017,-3,5,218,20,kazan
2019-11-01 21:00:00,-3,-7,0.1,7.0,1,24,11:51 AM,06:57 PM,06:48 AM,04:05 PM,-7,-9,-2,-9,36,84,68,0.0,1016,-2,10,229,24,kazan
2019-11-02 00:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-7,-10,-3,-10,35,100,74,0.0,1016,-3,10,232,24,kazan
2019-11-02 03:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-5,-11,-4,-11,35,100,91,0.5,1016,-4,2,239,24,kazan
2019-11-02 06:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-5,-10,-3,-10,32,100,90,0.0,1017,-3,10,243,23,kazan
2019-11-02 09:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-3,-7,-1,-7,29,100,87,0.4,1018,-1,2,245,21,kazan
2019-11-02 12:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-2,-6,-1,-6,27,100,89,0.0,1019,-1,10,242,19,kazan
2019-11-02 15:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-3,-8,-2,-8,26,82,93,0.2,1021,-2,5,239,17,kazan
2019-11-02 18:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-3,-7,-2,-7,23,70,94,0.0,1022,-2,10,234,15,kazan
2019-11-02 21:00:00,-1,-4,0.9,3.6,1,31,12:46 PM,07:52 PM,06:51 AM,04:03 PM,-4,-8,-4,-8,22,76,96,0.0,1024,-4,2,236,14,kazan
2019-11-03 00:00:00,-0,-3,0.0,3.6,1,39,01:28 PM,08:56 PM,06:53 AM,04:00 PM,-4,-8,-3,-8,19,71,96,0.0,1025,-3,2,241,12,kazan
2019-11-03 03:00:00,-0,-3,0.0,3.6,1,39,01:28 PM,08:56 PM,06:53 AM,04:00 PM,-4,-7,-3,-7,18,71,95,0.0,1025,-3,2,238,11,kazan
