date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,-4,-2,1,-2,20,4,72,0.0,1013,1,10,199,9,khabarovsk
2019-10-28 03:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,-4,-3,0,-3,16,8,74,0.0,1012,0,10,195,8,khabarovsk
2019-10-28 06:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,-4,-3,-0,-3,14,8,78,0.0,1013,-0,10,187,7,khabarovsk
2019-10-28 09:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,-2,1,4,1,13,5,68,0.0,1014,4,10,211,10,khabarovsk
2019-10-28 12:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,-0,4,7,4,14,14,59,0.0,1013,7,10,218,12,khabarovsk
2019-10-28 15:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,0,5,8,5,12,100,59,0.0,1012,8,10,205,8,khabarovsk
2019-10-28 18:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,0,3,5,3,13,28,73,0.0,1014,5,10,118,6,khabarovsk
2019-10-28 21:00:00,8,-0,0.0,7.1,2,0,07:09 AM,06:14 PM,07:39 AM,05:48 PM,0,1,3,1,23,21,81,0.0,1013,3,10,112,11,khabarovsk
2019-10-29 00:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,-0,0,3,0,24,14,80,0.0,1012,3,10,113,12,khabarovsk
2019-10-29 03:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,-1,-1,3,-1,24,19,77,0.0,1010,3,10,99,13,khabarovsk
2019-10-29 06:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,-2,-1,3,-1,27,49,71,0.0,1008,3,10,69,14,khabarovsk
2019-10-29 09:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,-2,0,4,0,25,76,66,0.2,1006,4,10,58,17,khabarovsk
2019-10-29 12:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,1,1,4,1,28,100,81,2.5,1003,4,9,62,21,khabarovsk
2019-10-29 15:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,4,3,4,3,24,100,96,6.6,1002,4,7,108,14,khabarovsk
2019-10-29 18:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,5,4,6,4,11,100,95,0.6,1002,6,2,151,6,khabarovsk
2019-10-29 21:00:00,6,3,0.0,3.8,2,1,08:30 AM,06:43 PM,07:40 AM,05:46 PM,3,0,4,0,18,100,94,1.1,1002,4,9,165,11,khabarovsk
