date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,3,-0,4,-0,40,100,92,6.5,998,4,7,241,23,krasnoyarsk
2019-10-28 03:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,3,0,4,0,44,100,94,2.5,998,4,7,241,25,krasnoyarsk
2019-10-28 06:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,4,1,5,1,42,100,91,5.5,998,5,7,245,24,krasnoyarsk
2019-10-28 09:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,4,1,5,1,37,100,93,2.0,998,5,9,236,21,krasnoyarsk
2019-10-28 12:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,4,2,6,2,42,100,89,7.3,996,6,7,230,26,krasnoyarsk
2019-10-28 15:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,4,1,6,1,44,100,88,3.7,996,6,7,232,27,krasnoyarsk
2019-10-28 18:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,4,1,6,1,45,100,87,5.2,995,6,7,231,28,krasnoyarsk
2019-10-28 21:00:00,6,4,0.0,3.6,2,0,07:20 AM,05:51 PM,07:46 AM,05:19 PM,4,2,6,2,47,100,86,2.9,995,6,6,232,28,krasnoyarsk
2019-10-29 00:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,3,2,6,2,40,71,82,4.3,998,6,8,261,26,krasnoyarsk
2019-10-29 03:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,3,1,5,1,37,100,87,0.0,999,5,10,244,23,krasnoyarsk
2019-10-29 06:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,4,2,6,2,36,100,86,0.1,998,6,10,221,21,krasnoyarsk
2019-10-29 09:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,5,3,8,3,48,100,82,1.7,992,8,9,212,31,krasnoyarsk
2019-10-29 12:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,5,6,10,6,59,66,71,2.4,989,10,9,231,38,krasnoyarsk
2019-10-29 15:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,5,5,9,5,65,87,74,0.7,989,9,2,236,41,krasnoyarsk
2019-10-29 18:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,1,1,6,1,69,49,68,4.3,994,6,8,266,43,krasnoyarsk
2019-10-29 21:00:00,10,3,0.0,3.6,2,1,08:50 AM,06:12 PM,07:48 AM,05:16 PM,-1,-3,3,-3,50,67,76,0.1,1001,3,10,268,30,krasnoyarsk
2019-10-30 00:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-5,-6,0,-6,49,24,67,0.2,1008,0,5,278,31,krasnoyarsk
2019-10-30 03:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-7,-8,-2,-8,33,6,72,0.0,1014,-2,10,278,22,krasnoyarsk
2019-10-30 06:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-9,-9,-4,-9,22,35,70,0.0,1019,-4,10,269,17,krasnoyarsk
2019-10-30 09:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-9,-6,-3,-6,14,10,61,0.0,1022,-3,10,256,12,krasnoyarsk
2019-10-30 12:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-10,-2,0,-2,11,16,47,0.0,1022,0,10,234,10,krasnoyarsk
2019-10-30 15:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-9,-1,0,-1,9,79,50,0.0,1022,0,10,202,8,krasnoyarsk
2019-10-30 18:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-6,-3,-1,-3,7,93,68,0.0,1022,-1,10,157,5,krasnoyarsk
2019-10-30 21:00:00,0,-4,0.2,7.0,1,8,10:17 AM,06:38 PM,07:50 AM,05:14 PM,-4,-2,-1,-2,7,73,77,0.0,1019,-1,10,165,4,krasnoyarsk
2019-10-31 00:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,-2,-1,0,-1,3,100,88,0.0,1018,0,10,154,2,krasnoyarsk
2019-10-31 03:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,1,1,1,1,5,100,98,1.3,1015,1,9,95,3,krasnoyarsk
2019-10-31 06:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,1,2,2,2,4,100,98,3.6,1014,2,7,272,2,krasnoyarsk
2019-10-31 09:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,2,1,4,1,6,100,90,0.8,1014,4,9,245,3,krasnoyarsk
2019-10-31 12:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,2,2,3,2,6,100,95,1.0,1016,3,9,264,4,krasnoyarsk
2019-10-31 15:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,0,-1,1,-1,8,100,97,0.1,1019,1,0,311,5,krasnoyarsk
2019-10-31 18:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,-2,-2,-0,-2,10,100,90,0.1,1022,-0,5,5,6,krasnoyarsk
2019-10-31 21:00:00,4,-1,0.1,3.6,1,12,11:39 AM,07:11 PM,07:53 AM,05:12 PM,-2,-3,-1,-3,7,100,92,0.0,1022,-1,10,59,5,krasnoyarsk
2019-11-01 00:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,-2,-4,-1,-4,11,100,94,0.1,1021,-1,5,74,7,krasnoyarsk
2019-11-01 03:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,-2,-4,-1,-4,11,100,93,0.0,1019,-1,10,91,7,krasnoyarsk
2019-11-01 06:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,-1,-4,-0,-4,15,100,93,0.0,1017,-0,10,101,9,krasnoyarsk
2019-11-01 09:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,-1,-3,0,-3,14,100,90,0.0,1015,0,10,119,9,krasnoyarsk
2019-11-01 12:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,1,1,3,1,14,77,88,0.1,1013,3,10,150,8,krasnoyarsk
2019-11-01 15:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,2,2,4,2,18,86,90,0.1,1012,4,10,169,9,krasnoyarsk
2019-11-01 18:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,3,1,4,1,26,26,89,0.0,1012,4,10,204,13,krasnoyarsk
2019-11-01 21:00:00,4,-1,0.1,3.6,1,24,12:50 PM,07:55 PM,07:55 AM,05:10 PM,3,2,5,2,32,45,87,0.0,1011,5,10,209,15,krasnoyarsk
2019-11-02 00:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,4,3,6,3,30,71,87,0.4,1011,6,5,200,14,krasnoyarsk
2019-11-02 03:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,4,3,6,3,37,52,87,0.3,1010,6,5,228,19,krasnoyarsk
2019-11-02 06:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,4,3,6,3,28,29,84,0.3,1013,6,9,243,14,krasnoyarsk
2019-11-02 09:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,3,4,7,4,25,30,75,0.8,1013,7,9,241,14,krasnoyarsk
2019-11-02 12:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,-4,2,7,2,35,23,48,0.9,1015,7,9,247,23,krasnoyarsk
2019-11-02 15:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,-6,-1,3,-1,24,48,51,0.0,1018,3,10,260,14,krasnoyarsk
2019-11-02 18:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,-5,-4,1,-4,24,71,65,0.0,1022,1,10,259,14,krasnoyarsk
2019-11-02 21:00:00,7,-1,0.0,8.7,1,31,01:47 PM,08:48 PM,07:57 AM,05:07 PM,-6,-5,-1,-5,25,82,70,0.0,1023,-1,10,263,16,krasnoyarsk
2019-11-03 00:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-7,-6,-2,-6,21,49,66,0.0,1026,-2,10,266,13,krasnoyarsk
2019-11-03 03:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-8,-6,-2,-6,14,12,67,0.0,1027,-2,10,248,10,krasnoyarsk
2019-11-03 06:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-9,-8,-3,-8,23,11,65,0.0,1030,-3,10,255,14,krasnoyarsk
2019-11-03 09:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-10,-10,-3,-10,29,80,59,0.0,1032,-3,10,260,22,krasnoyarsk
2019-11-03 12:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-11,-9,-3,-9,32,100,52,0.0,1035,-3,10,265,24,krasnoyarsk
2019-11-03 15:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-12,-10,-4,-10,31,98,51,0.0,1037,-4,10,264,21,krasnoyarsk
2019-11-03 18:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-13,-10,-5,-10,18,3,55,0.0,1041,-5,10,256,11,krasnoyarsk
2019-11-03 21:00:00,-3,-5,0.0,3.5,2,39,02:31 PM,09:52 PM,07:59 AM,05:05 PM,-11,-7,-4,-7,10,0,58,0.0,1041,-4,10,246,7,krasnoyarsk
2019-11-04 00:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-6,-4,-6,6,10,61,0.0,1041,-4,10,204,4,krasnoyarsk
2019-11-04 03:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-6,-4,-6,6,30,60,0.0,1039,-4,10,149,4,krasnoyarsk
2019-11-04 06:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-7,-5,-7,6,98,60,0.0,1036,-5,10,116,4,krasnoyarsk
2019-11-04 09:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-7,-4,-7,7,100,57,0.0,1034,-4,10,104,6,krasnoyarsk
2019-11-04 12:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-6,-2,-6,9,100,50,0.0,1030,-2,10,99,8,krasnoyarsk
2019-11-04 15:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-6,-2,-6,12,100,50,0.0,1028,-2,10,85,10,krasnoyarsk
2019-11-04 18:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-11,-6,-3,-6,11,100,55,0.0,1027,-3,10,89,8,krasnoyarsk
2019-11-04 21:00:00,-2,-5,0.0,3.4,2,46,03:03 PM,11:00 PM,08:01 AM,05:03 PM,-10,-4,-3,-4,8,48,58,0.0,1026,-3,10,74,6,krasnoyarsk
2019-11-05 00:00:00,-1,-4,0.0,8.7,2,54,03:27 PM,No moonset,08:03 AM,05:01 PM,-10,-4,-4,-4,6,34,63,0.0,1025,-4,10,56,4,krasnoyarsk
2019-11-05 03:00:00,-1,-4,0.0,8.7,2,54,03:27 PM,No moonset,08:03 AM,05:01 PM,-9,-5,-4,-5,6,19,66,0.0,1026,-4,10,8,4,krasnoyarsk
2019-11-05 06:00:00,-1,-4,0.0,8.7,2,54,03:27 PM,No moonset,08:03 AM,05:01 PM,-8,-4,-4,-4,5,3,72,0.0,1028,-4,10,9,4,krasnoyarsk
2019-11-05 09:00:00,-1,-4,0.0,8.7,2,54,03:27 PM,No moonset,08:03 AM,05:01 PM,-9,-4,-4,-4,4,10,66,0.0,1028,-4,10,24,3,krasnoyarsk
2019-11-05 12:00:00,-1,-4,0.0,8.7,2,54,03:27 PM,No moonset,08:03 AM,05:01 PM,-9,-2,-1,-2,5,6,56,0.0,1028,-1,10,71,4,krasnoyarsk
