date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,2,-1,3,-1,17,100,96,1.3,1017,3,9,77,10,magadan
2019-10-28 03:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,2,-1,2,-1,17,100,97,2.3,1017,2,9,61,10,magadan
2019-10-28 06:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,2,-1,2,-1,16,100,97,0.4,1016,2,9,45,10,magadan
2019-10-28 09:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,2,-1,2,-1,15,89,95,0.4,1015,2,9,42,9,magadan
2019-10-28 12:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,2,0,3,0,12,50,93,0.0,1014,3,10,32,8,magadan
2019-10-28 15:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,1,0,3,0,9,77,88,0.0,1013,3,10,136,6,magadan
2019-10-28 18:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,0,0,3,0,9,93,83,0.0,1013,3,10,336,5,magadan
2019-10-28 21:00:00,3,2,0.0,5.2,1,0,07:20 AM,05:48 PM,08:05 AM,05:15 PM,0,-1,3,-1,11,100,83,0.0,1012,3,10,244,6,magadan
2019-10-29 00:00:00,3,2,0.9,3.4,1,1,08:56 AM,06:02 PM,08:08 AM,05:13 PM,2,-1,3,-1,9,100,93,0.1,1011,3,10,28,5,magadan
2019-10-29 03:00:00,3,2,0.9,3.4,1,1,08:56 AM,06:02 PM,08:08 AM,05:13 PM,2,-0,2,-0,8,100,98,1.0,1010,2,9,131,5,magadan
