date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,5,14,14,14,11,0,54,0.0,1020,14,10,145,5,makhachkala
2019-10-28 03:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,5,14,13,14,19,0,58,0.0,1019,13,10,143,9,makhachkala
2019-10-28 06:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,6,13,13,13,23,0,63,0.0,1018,13,10,145,11,makhachkala
2019-10-28 09:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,8,17,17,17,17,0,56,0.0,1018,17,10,141,14,makhachkala
2019-10-28 12:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,9,18,18,18,21,0,53,0.0,1016,18,10,119,18,makhachkala
2019-10-28 15:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,9,18,18,18,23,0,56,0.0,1015,18,10,122,20,makhachkala
2019-10-28 18:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,11,16,16,16,21,0,74,0.0,1015,16,10,142,13,makhachkala
2019-10-28 21:00:00,18,13,0.0,8.7,5,0,06:12 AM,05:21 PM,06:19 AM,04:48 PM,11,15,14,15,13,0,79,0.0,1015,14,10,156,6,makhachkala
2019-10-29 00:00:00,19,12,0.0,7.1,5,1,07:28 AM,05:55 PM,06:20 AM,04:47 PM,9,13,14,13,10,2,73,0.0,1014,14,10,241,5,makhachkala
2019-10-29 03:00:00,19,12,0.0,7.1,5,1,07:28 AM,05:55 PM,06:20 AM,04:47 PM,8,12,13,12,23,3,72,0.0,1013,13,10,292,11,makhachkala
2019-10-29 06:00:00,19,12,0.0,7.1,5,1,07:28 AM,05:55 PM,06:20 AM,04:47 PM,6,11,12,11,23,6,66,0.0,1013,12,10,308,12,makhachkala
2019-10-29 09:00:00,19,12,0.0,7.1,5,1,07:28 AM,05:55 PM,06:20 AM,04:47 PM,5,16,16,16,15,44,51,0.0,1014,16,10,293,13,makhachkala
2019-10-29 12:00:00,19,12,0.0,7.1,5,1,07:28 AM,05:55 PM,06:20 AM,04:47 PM,6,18,18,18,14,76,47,0.0,1013,18,10,316,12,makhachkala
2019-10-29 15:00:00,19,12,0.0,7.1,5,1,07:28 AM,05:55 PM,06:20 AM,04:47 PM,6,19,19,19,14,49,44,0.0,1013,19,10,357,11,makhachkala
