date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,2,6,9,6,42,48,62,0.1,999,9,10,256,31,moscow
2019-10-28 03:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,-0,2,7,2,42,38,63,0.0,1001,7,10,282,33,moscow
2019-10-28 06:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,-1,1,6,1,36,13,64,0.0,1004,6,10,293,29,moscow
2019-10-28 09:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,-0,3,7,3,28,86,59,0.0,1006,7,10,297,24,moscow
2019-10-28 12:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,-1,3,7,3,23,85,59,0.1,1009,7,10,290,20,moscow
2019-10-28 15:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,0,2,5,2,20,61,70,0.2,1011,5,10,290,17,moscow
2019-10-28 18:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,-0,2,4,2,14,18,75,0.2,1013,4,9,292,12,moscow
2019-10-28 21:00:00,7,2,0.0,3.6,3,0,07:14 AM,05:36 PM,07:27 AM,05:00 PM,-1,1,2,1,10,19,78,0.0,1014,2,10,307,8,moscow
2019-10-29 00:00:00,5,1,3.1,3.5,2,1,08:43 AM,05:57 PM,07:29 AM,04:57 PM,-1,2,2,2,5,30,81,0.0,1015,2,10,251,4,moscow
2019-10-29 03:00:00,5,1,3.1,3.5,2,1,08:43 AM,05:57 PM,07:29 AM,04:57 PM,-1,-1,1,-1,4,32,85,0.0,1014,1,10,109,3,moscow
2019-10-29 06:00:00,5,1,3.1,3.5,2,1,08:43 AM,05:57 PM,07:29 AM,04:57 PM,-1,-1,2,-1,8,37,83,0.0,1014,2,10,136,6,moscow
2019-10-29 09:00:00,5,1,3.1,3.5,2,1,08:43 AM,05:57 PM,07:29 AM,04:57 PM,1,2,5,2,13,100,74,0.0,1013,5,10,135,10,moscow
2019-10-29 12:00:00,5,1,3.1,3.5,2,1,08:43 AM,05:57 PM,07:29 AM,04:57 PM,2,1,5,1,14,100,85,0.1,1010,5,10,135,12,moscow
2019-10-29 15:00:00,5,1,3.1,3.5,2,1,08:43 AM,05:57 PM,07:29 AM,04:57 PM,4,2,5,2,17,100,94,2.6,1008,5,7,173,13,moscow
