date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-10,-13,-9,-13,14,80,87,0.1,1003,-9,5,239,7,murmansk
2019-10-28 03:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-9,-11,-7,-11,13,100,82,0.0,1003,-7,10,252,6,murmansk
2019-10-28 06:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-9,-12,-8,-12,10,100,89,0.1,1004,-8,5,267,5,murmansk
2019-10-28 09:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-8,-12,-7,-12,12,34,89,0.1,1004,-7,10,257,6,murmansk
2019-10-28 12:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-9,-13,-7,-13,14,100,88,0.0,1004,-7,10,262,9,murmansk
2019-10-28 15:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-11,-15,-9,-15,23,100,89,0.0,1003,-9,10,277,16,murmansk
2019-10-28 18:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-12,-15,-11,-15,24,84,95,0.0,1004,-11,2,284,15,murmansk
2019-10-28 21:00:00,-7,-11,0.5,4.8,1,0,08:20 AM,04:58 PM,08:48 AM,04:14 PM,-10,-12,-9,-12,15,84,95,0.4,1004,-9,2,266,8,murmansk
2019-10-29 00:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-10,-13,-9,-13,19,66,94,0.4,1006,-9,5,265,10,murmansk
2019-10-29 03:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-10,-12,-8,-12,28,95,92,0.0,1007,-8,10,285,16,murmansk
2019-10-29 06:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-8,-9,-7,-9,30,81,89,0.1,1008,-7,7,289,17,murmansk
2019-10-29 09:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-6,-7,-5,-7,27,93,91,0.1,1011,-5,7,289,17,murmansk
2019-10-29 12:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-6,-8,-4,-8,26,100,90,0.1,1012,-4,10,288,16,murmansk
2019-10-29 15:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-5,-9,-4,-9,27,91,95,0.1,1013,-4,7,285,16,murmansk
2019-10-29 18:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-4,-9,-3,-9,28,100,95,0.0,1013,-3,10,284,16,murmansk
2019-10-29 21:00:00,-3,-9,0.8,2.8,1,1,10:27 AM,04:44 PM,08:52 AM,04:09 PM,-5,-10,-4,-10,26,87,94,0.1,1014,-4,5,279,14,murmansk
2019-10-30 00:00:00,-6,-12,0.0,7.5,1,8,12:46 PM,04:21 PM,08:57 AM,04:05 PM,-6,-11,-5,-11,21,76,93,0.0,1014,-5,10,283,13,murmansk
2019-10-30 03:00:00,-6,-12,0.0,7.5,1,8,12:46 PM,04:21 PM,08:57 AM,04:05 PM,-7,-12,-6,-12,25,88,91,0.0,1015,-6,10,282,15,murmansk
2019-10-30 06:00:00,-6,-12,0.0,7.5,1,8,12:46 PM,04:21 PM,08:57 AM,04:05 PM,-7,-12,-6,-12,27,74,88,0.0,1015,-6,10,281,15,murmansk
2019-10-30 09:00:00,-6,-12,0.0,7.5,1,8,12:46 PM,04:21 PM,08:57 AM,04:05 PM,-8,-12,-7,-12,26,47,90,0.0,1015,-7,10,282,15,murmansk
