date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-13,-19,-10,-19,34,83,76,0.0,989,-10,10,112,22,norilsk
2019-10-28 03:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-12,-18,-9,-18,37,95,77,0.2,986,-9,0,118,27,norilsk
2019-10-28 06:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-11,-19,-9,-19,51,99,90,0.0,983,-9,10,124,38,norilsk
2019-10-28 09:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-10,-19,-9,-19,60,84,90,0.8,982,-9,0,131,46,norilsk
2019-10-28 12:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-10,-19,-8,-19,63,98,87,0.0,981,-8,10,137,49,norilsk
2019-10-28 15:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-10,-18,-8,-18,55,70,88,0.1,982,-8,0,142,43,norilsk
2019-10-28 18:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-11,-18,-10,-18,46,76,89,0.0,983,-10,10,143,35,norilsk
2019-10-28 21:00:00,-8,-10,0.1,1.8,1,0,08:23 AM,05:17 PM,09:10 AM,04:31 PM,-10,-16,-9,-16,36,100,93,0.1,984,-9,5,144,27,norilsk
2019-10-29 00:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-10,-15,-9,-15,19,100,95,0.0,984,-9,2,140,12,norilsk
2019-10-29 03:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-10,-12,-10,-12,11,100,96,0.6,985,-10,2,131,7,norilsk
2019-10-29 06:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-11,-11,-11,-11,5,100,96,0.3,985,-11,2,98,4,norilsk
2019-10-29 09:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-12,-14,-12,-14,4,100,96,0.5,985,-12,2,267,3,norilsk
2019-10-29 12:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-12,-14,-12,-14,6,100,96,0.7,984,-12,2,339,5,norilsk
2019-10-29 15:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-14,-18,-14,-18,9,93,97,0.1,986,-14,5,300,6,norilsk
2019-10-29 18:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-17,-22,-17,-22,12,100,97,0.1,988,-17,5,277,7,norilsk
2019-10-29 21:00:00,-11,-18,2.0,1.8,1,1,10:31 AM,05:02 PM,09:14 AM,04:26 PM,-19,-22,-18,-22,13,96,97,0.1,989,-18,5,263,7,norilsk
2019-10-30 00:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-20,-22,-19,-22,12,51,97,0.1,991,-19,7,226,6,norilsk
2019-10-30 03:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-19,-25,-18,-25,15,50,93,0.0,994,-18,10,178,7,norilsk
2019-10-30 06:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-18,-25,-17,-25,18,100,96,0.2,996,-17,5,145,9,norilsk
2019-10-30 09:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-17,-25,-17,-25,22,100,96,0.3,998,-17,2,133,12,norilsk
2019-10-30 12:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-16,-25,-16,-25,23,100,94,0.5,1000,-16,2,130,14,norilsk
2019-10-30 15:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-17,-26,-17,-26,25,99,93,0.1,1002,-17,10,134,15,norilsk
2019-10-30 18:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-18,-27,-18,-27,28,100,93,0.2,1003,-18,5,136,15,norilsk
2019-10-30 21:00:00,-16,-19,1.4,1.8,1,8,12:51 PM,04:37 PM,09:19 AM,04:21 PM,-16,-24,-15,-24,33,100,92,0.2,1002,-15,5,134,17,norilsk
2019-10-31 00:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-15,-24,-14,-24,36,100,91,0.3,1002,-14,2,131,19,norilsk
2019-10-31 03:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-15,-24,-13,-24,38,100,91,0.1,1002,-13,0,127,21,norilsk
2019-10-31 06:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-14,-23,-13,-23,39,100,91,0.3,1002,-13,0,127,21,norilsk
2019-10-31 09:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-13,-21,-12,-21,35,100,91,0.3,1003,-12,2,129,21,norilsk
2019-10-31 12:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-13,-21,-12,-21,31,100,91,0.6,1004,-12,2,135,21,norilsk
2019-10-31 15:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-13,-20,-12,-20,25,100,93,0.3,1005,-12,2,138,17,norilsk
2019-10-31 18:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-13,-21,-12,-21,14,100,93,0.0,1006,-12,10,174,9,norilsk
2019-10-31 21:00:00,-12,-14,1.3,1.7,1,12,12:00 AM,12:00 AM,09:24 AM,04:17 PM,-12,-21,-11,-21,13,100,91,0.4,1005,-11,0,205,8,norilsk
2019-11-01 00:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-13,-21,-12,-21,10,100,92,0.0,1006,-12,10,157,7,norilsk
2019-11-01 03:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-13,-19,-13,-19,7,100,95,0.5,1009,-13,2,187,5,norilsk
2019-11-01 06:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-17,-23,-16,-23,10,100,95,0.0,1011,-16,2,224,6,norilsk
2019-11-01 09:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-19,-25,-19,-25,13,100,96,0.1,1013,-19,10,221,7,norilsk
2019-11-01 12:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-19,-24,-19,-24,8,100,96,0.0,1015,-19,2,184,4,norilsk
2019-11-01 15:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-19,-25,-19,-25,9,59,96,0.0,1017,-19,10,135,5,norilsk
2019-11-01 18:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-20,-27,-20,-27,15,43,95,0.0,1016,-20,2,117,7,norilsk
2019-11-01 21:00:00,-16,-20,0.5,3.8,1,24,12:00 AM,12:00 AM,09:28 AM,04:12 PM,-20,-27,-19,-27,18,24,95,0.0,1013,-19,2,118,8,norilsk
2019-11-02 00:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-21,-27,-20,-27,18,35,91,0.0,1010,-20,10,110,9,norilsk
2019-11-02 03:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-21,-25,-20,-25,16,11,85,0.0,1007,-20,10,105,8,norilsk
2019-11-02 06:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-21,-23,-18,-23,14,100,80,0.0,1003,-18,10,102,7,norilsk
2019-11-02 09:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-20,-21,-17,-21,13,87,77,0.0,999,-17,10,96,6,norilsk
2019-11-02 12:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-17,-19,-15,-19,10,83,83,0.0,996,-15,10,71,5,norilsk
2019-11-02 15:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-17,-18,-15,-18,13,85,86,0.1,997,-15,10,254,6,norilsk
2019-11-02 18:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-17,-18,-15,-18,12,100,90,0.2,998,-15,5,341,6,norilsk
2019-11-02 21:00:00,-15,-20,0.3,1.7,2,31,12:00 AM,12:00 AM,09:33 AM,04:07 PM,-18,-21,-17,-21,10,100,90,0.0,999,-17,10,335,5,norilsk
2019-11-03 00:00:00,-22,-26,0.1,1.7,1,39,12:00 AM,12:00 AM,09:38 AM,04:03 PM,-19,-23,-18,-23,8,94,94,0.1,1001,-18,5,235,4,norilsk
