date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,8,12,13,12,16,9,71,0.0,1018,13,10,249,9,rostov-on-don
2019-10-28 03:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,8,10,11,10,17,2,80,0.0,1017,11,10,247,10,rostov-on-don
2019-10-28 06:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,9,9,10,9,16,2,90,0.0,1016,10,10,247,9,rostov-on-don
2019-10-28 09:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,8,12,13,12,14,9,70,0.0,1016,13,10,249,10,rostov-on-don
2019-10-28 12:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,7,17,17,17,18,10,51,0.0,1015,17,10,251,16,rostov-on-don
2019-10-28 15:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,7,18,18,18,21,2,48,0.0,1014,18,10,252,17,rostov-on-don
2019-10-28 18:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,7,12,12,12,18,6,69,0.0,1014,12,10,259,11,rostov-on-don
2019-10-28 21:00:00,18,10,0.0,8.7,4,0,06:50 AM,05:46 PM,06:58 AM,05:12 PM,8,10,11,10,14,10,80,0.0,1014,11,10,264,8,rostov-on-don
2019-10-29 00:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,9,10,11,10,11,8,88,0.0,1014,11,10,287,6,rostov-on-don
2019-10-29 03:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,9,11,11,11,8,4,87,0.0,1014,11,10,344,5,rostov-on-don
2019-10-29 06:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,7,9,9,9,8,15,88,0.0,1014,9,10,45,4,rostov-on-don
2019-10-29 09:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,7,12,12,12,4,13,74,0.0,1015,12,10,31,3,rostov-on-don
2019-10-29 12:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,7,15,15,15,5,22,57,0.0,1015,15,10,35,4,rostov-on-don
2019-10-29 15:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,7,17,17,17,4,30,52,0.0,1014,17,10,13,3,rostov-on-don
2019-10-29 18:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,8,14,13,14,2,100,70,0.0,1014,13,10,341,1,rostov-on-don
2019-10-29 21:00:00,17,9,0.0,8.7,4,1,08:09 AM,06:16 PM,06:59 AM,05:10 PM,9,12,12,12,15,100,77,0.2,1015,12,2,50,10,rostov-on-don
2019-10-30 00:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,9,11,11,11,8,100,86,0.8,1014,11,9,351,6,rostov-on-don
2019-10-30 03:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,8,9,10,9,15,100,89,3.4,1015,10,7,355,12,rostov-on-don
2019-10-30 06:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,8,8,10,8,12,100,87,2.7,1014,10,7,345,9,rostov-on-don
2019-10-30 09:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,5,7,9,7,16,100,76,4.7,1015,9,7,291,12,rostov-on-don
2019-10-30 12:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,3,8,10,8,19,39,61,0.5,1016,10,5,302,15,rostov-on-don
2019-10-30 15:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,1,9,12,9,27,35,46,0.5,1017,12,9,308,22,rostov-on-don
2019-10-30 18:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,-1,6,9,6,26,5,50,0.0,1019,9,10,320,18,rostov-on-don
2019-10-30 21:00:00,12,6,0.0,7.1,2,8,09:27 AM,06:52 PM,07:01 AM,05:09 PM,-4,3,6,3,27,2,47,0.0,1021,6,10,335,19,rostov-on-don
2019-10-31 00:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-4,1,4,1,21,0,55,0.0,1022,4,10,338,15,rostov-on-don
2019-10-31 03:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-5,-0,2,-0,17,16,60,0.0,1023,2,10,327,13,rostov-on-don
2019-10-31 06:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-5,-1,2,-1,17,6,60,0.0,1024,2,10,321,12,rostov-on-don
2019-10-31 09:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-7,-1,2,-1,17,14,52,0.0,1025,2,10,330,14,rostov-on-don
2019-10-31 12:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-8,0,4,0,14,6,41,0.0,1025,4,10,323,13,rostov-on-don
2019-10-31 15:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-9,1,5,1,14,0,36,0.0,1024,5,10,324,12,rostov-on-don
2019-10-31 18:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-9,0,2,0,15,3,44,0.0,1025,2,10,347,11,rostov-on-don
2019-10-31 21:00:00,5,1,0.0,8.7,2,12,10:38 AM,07:34 PM,07:02 AM,05:07 PM,-9,-2,1,-2,13,5,49,0.0,1025,1,10,16,9,rostov-on-don
2019-11-01 00:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-9,-3,-0,-3,13,4,51,0.0,1027,-0,10,22,9,rostov-on-don
2019-11-01 03:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-9,-4,-1,-4,13,4,54,0.0,1027,-1,10,23,8,rostov-on-don
2019-11-01 06:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-9,-5,-2,-5,13,3,58,0.0,1027,-2,10,48,9,rostov-on-don
2019-11-01 09:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-9,-5,-0,-5,14,11,51,0.0,1027,-0,10,70,11,rostov-on-don
2019-11-01 12:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-10,-1,2,-1,13,20,41,0.0,1027,2,10,75,12,rostov-on-don
2019-11-01 15:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-10,-0,3,-0,15,5,38,0.0,1025,3,10,67,12,rostov-on-don
2019-11-01 18:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-9,-2,1,-2,16,50,47,0.0,1026,1,10,62,11,rostov-on-don
2019-11-01 21:00:00,3,-2,0.0,8.7,2,24,11:43 AM,08:23 PM,07:04 AM,05:05 PM,-8,-3,0,-3,19,26,52,0.0,1026,0,10,66,13,rostov-on-don
2019-11-02 00:00:00,5,-2,0.0,8.7,2,31,12:38 PM,09:18 PM,07:05 AM,05:04 PM,-8,-4,-1,-4,16,4,57,0.0,1026,-1,10,65,11,rostov-on-don
