date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-1,-4,1,-4,22,100,87,2.9,999,1,2,334,15,saint-petersburg
2019-10-28 03:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-3,-4,-0,-4,16,43,79,0.1,1003,-0,10,242,12,saint-petersburg
2019-10-28 06:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-3,-4,-1,-4,14,23,84,0.1,1006,-1,10,17,10,saint-petersburg
2019-10-28 09:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-3,0,2,0,10,39,70,0.0,1009,2,10,17,8,saint-petersburg
2019-10-28 12:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-4,2,2,2,9,44,64,0.0,1010,2,10,22,7,saint-petersburg
2019-10-28 15:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-4,-0,-0,-0,10,100,74,0.0,1011,-0,10,35,6,saint-petersburg
2019-10-28 18:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-3,-3,-0,-3,11,100,80,0.0,1012,-0,10,52,6,saint-petersburg
2019-10-28 21:00:00,2,-1,2.5,6.9,1,0,07:56 AM,05:53 PM,08:09 AM,05:15 PM,-3,-4,0,-4,7,91,82,0.0,1011,0,10,68,4,saint-petersburg
2019-10-29 00:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-1,-4,-0,-4,8,100,96,1.1,1011,-0,2,149,5,saint-petersburg
2019-10-29 03:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-0,0,0,0,7,100,97,1.3,1010,0,2,131,5,saint-petersburg
2019-10-29 06:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-2,-5,-1,-5,8,55,91,1.4,1010,-1,5,80,6,saint-petersburg
2019-10-29 09:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-3,-4,0,-4,10,63,82,0.0,1011,0,10,45,7,saint-petersburg
2019-10-29 12:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-4,-4,0,-4,11,70,76,0.0,1012,0,10,132,8,saint-petersburg
2019-10-29 15:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-4,-5,-2,-5,15,43,84,0.0,1013,-2,10,343,10,saint-petersburg
2019-10-29 18:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-4,-7,-2,-7,20,96,85,0.0,1014,-2,10,342,12,saint-petersburg
2019-10-29 21:00:00,0,-3,3.2,5.2,1,1,09:32 AM,06:08 PM,08:12 AM,05:13 PM,-5,-8,-3,-8,21,24,86,0.0,1015,-3,10,340,12,saint-petersburg
2019-10-30 00:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-5,-8,-3,-8,21,69,88,0.0,1017,-3,10,333,13,saint-petersburg
2019-10-30 03:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-5,-9,-4,-9,21,56,87,0.0,1018,-4,10,334,13,saint-petersburg
2019-10-30 06:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-6,-9,-3,-9,20,49,85,0.0,1020,-3,10,335,13,saint-petersburg
2019-10-30 09:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-5,-6,-1,-6,18,15,75,0.0,1021,-1,10,331,13,saint-petersburg
2019-10-30 12:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-5,-5,-1,-5,17,93,74,0.0,1022,-1,10,322,13,saint-petersburg
2019-10-30 15:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-5,-6,-2,-6,14,51,81,0.0,1022,-2,10,317,10,saint-petersburg
2019-10-30 18:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-5,-5,-3,-5,11,13,84,0.0,1023,-3,10,314,6,saint-petersburg
2019-10-30 21:00:00,-1,-4,0.0,6.9,1,8,11:06 AM,06:28 PM,08:14 AM,05:10 PM,-6,-4,-3,-4,9,23,83,0.0,1023,-3,10,280,5,saint-petersburg
2019-10-31 00:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,-4,-7,-3,-7,9,64,91,0.0,1022,-3,10,240,5,saint-petersburg
2019-10-31 03:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,-4,-7,-3,-7,18,100,88,0.0,1020,-3,10,208,10,saint-petersburg
2019-10-31 06:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,-5,-7,-2,-7,23,95,81,0.0,1018,-2,10,210,14,saint-petersburg
2019-10-31 09:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,-2,-4,1,-4,24,100,81,0.0,1016,1,10,200,17,saint-petersburg
2019-10-31 12:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,-0,-3,2,-3,27,100,85,0.0,1013,2,10,205,19,saint-petersburg
2019-10-31 15:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,2,-2,3,-2,31,100,94,0.4,1011,3,2,221,20,saint-petersburg
2019-10-31 18:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,2,0,3,0,22,100,88,3.6,1010,3,6,257,14,saint-petersburg
2019-10-31 21:00:00,3,-3,0.1,3.3,1,12,12:32 PM,06:58 PM,08:17 AM,05:07 PM,1,-0,3,-0,13,84,85,0.1,1009,3,5,286,7,saint-petersburg
2019-11-01 00:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-0,-2,2,-2,17,98,87,0.2,1010,2,7,267,10,saint-petersburg
2019-11-01 03:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-0,-2,2,-2,20,100,87,0.0,1009,2,10,292,11,saint-petersburg
2019-11-01 06:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-1,-4,1,-4,22,65,89,0.1,1010,1,7,300,13,saint-petersburg
2019-11-01 09:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-1,-3,2,-3,20,82,83,0.0,1010,2,10,299,13,saint-petersburg
2019-11-01 12:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-2,-2,2,-2,21,68,78,0.1,1011,2,7,299,14,saint-petersburg
2019-11-01 15:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-2,-3,1,-3,18,77,84,0.1,1012,1,7,305,12,saint-petersburg
2019-11-01 18:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-2,-3,-0,-3,11,91,86,0.1,1013,-0,7,323,6,saint-petersburg
2019-11-01 21:00:00,2,-1,0.5,3.3,1,24,01:45 PM,07:40 PM,08:19 AM,05:05 PM,-3,-3,-1,-3,6,100,86,0.0,1013,-1,10,276,3,saint-petersburg
2019-11-02 00:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,-4,-4,-2,-4,4,78,88,0.0,1013,-2,10,285,2,saint-petersburg
2019-11-02 03:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,-3,-5,-1,-5,13,75,88,0.0,1012,-1,10,149,7,saint-petersburg
2019-11-02 06:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,-2,-5,-1,-5,17,100,91,0.0,1011,-1,10,148,10,saint-petersburg
2019-11-02 09:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,-1,-3,2,-3,21,87,84,0.0,1010,2,10,159,14,saint-petersburg
2019-11-02 12:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,1,-2,2,-2,24,100,89,0.0,1008,2,10,171,17,saint-petersburg
2019-11-02 15:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,2,-1,3,-1,29,100,91,0.2,1005,3,2,166,19,saint-petersburg
2019-11-02 18:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,1,-2,3,-2,29,100,84,0.2,1002,3,5,175,18,saint-petersburg
2019-11-02 21:00:00,3,-2,1.8,3.3,1,31,02:39 PM,08:36 PM,08:22 AM,05:02 PM,1,-4,2,-4,28,100,96,1.9,999,2,2,180,17,saint-petersburg
2019-11-03 00:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,1,-3,2,-3,30,100,97,3.6,997,2,2,180,20,saint-petersburg
2019-11-03 03:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,2,-1,3,-1,25,100,95,0.3,995,3,2,185,17,saint-petersburg
2019-11-03 06:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,3,0,4,0,22,100,93,0.8,994,4,9,184,15,saint-petersburg
2019-11-03 09:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,2,0,3,0,20,100,91,0.1,995,3,10,198,13,saint-petersburg
2019-11-03 12:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,3,1,3,1,16,100,95,0.6,995,3,2,197,11,saint-petersburg
2019-11-03 15:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,3,2,3,2,13,100,97,0.9,995,3,9,183,8,saint-petersburg
2019-11-03 18:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,4,3,4,3,12,100,97,1.2,996,4,9,179,7,saint-petersburg
2019-11-03 21:00:00,4,2,3.1,3.1,1,39,03:17 PM,09:44 PM,08:24 AM,04:59 PM,2,1,3,1,7,94,95,0.0,998,3,2,168,4,saint-petersburg
2019-11-04 00:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,0,-3,1,-3,17,100,91,0.0,1000,1,10,22,12,saint-petersburg
2019-11-04 03:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,0,-2,2,-2,18,99,89,0.2,1000,2,9,35,12,saint-petersburg
2019-11-04 06:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,1,-2,2,-2,21,100,90,0.9,1000,2,9,48,15,saint-petersburg
2019-11-04 09:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,0,-2,2,-2,24,100,87,0.6,1002,2,2,54,17,saint-petersburg
2019-11-04 12:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,-2,-3,2,-3,25,48,77,0.6,1002,2,5,48,17,saint-petersburg
2019-11-04 15:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,-3,-3,1,-3,24,33,75,0.0,1002,1,10,49,16,saint-petersburg
2019-11-04 18:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,-3,-4,1,-4,27,49,76,0.0,1002,1,10,49,17,saint-petersburg
2019-11-04 21:00:00,2,1,1.0,6.8,1,46,03:43 PM,10:58 PM,08:27 AM,04:57 PM,-4,-4,1,-4,32,48,69,0.0,1001,1,10,57,20,saint-petersburg
2019-11-05 00:00:00,1,0,0.2,3.1,2,54,04:00 PM,No moonset,08:30 AM,04:54 PM,-4,-5,1,-5,32,14,70,0.0,1001,1,10,68,21,saint-petersburg
