date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,3,6,9,6,33,0,66,0.0,1010,9,10,240,20,voronezh
2019-10-28 03:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,4,4,8,4,31,0,75,0.0,1008,8,10,242,19,voronezh
2019-10-28 06:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,5,6,9,6,26,44,74,0.0,1010,9,10,254,17,voronezh
2019-10-28 09:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,6,11,12,11,21,51,67,0.0,1010,12,10,267,16,voronezh
2019-10-28 12:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,5,11,13,11,18,24,58,0.0,1011,13,10,282,15,voronezh
2019-10-28 15:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,4,9,10,9,18,43,63,0.0,1012,10,10,301,13,voronezh
2019-10-28 18:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,4,6,8,6,15,38,74,0.0,1013,8,10,328,10,voronezh
2019-10-28 21:00:00,13,8,0.0,8.7,4,0,07:00 AM,05:39 PM,07:09 AM,05:04 PM,4,7,8,7,10,11,75,0.0,1014,8,10,338,7,voronezh
2019-10-29 00:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,4,5,7,5,10,3,81,0.0,1015,7,10,336,7,voronezh
2019-10-29 03:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,2,4,5,4,7,6,82,0.0,1014,5,10,336,5,voronezh
2019-10-29 06:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,3,7,7,7,3,4,71,0.0,1015,7,10,303,2,voronezh
2019-10-29 09:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,1,9,10,9,5,5,53,0.0,1015,10,10,242,4,voronezh
2019-10-29 12:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,0,9,10,9,9,29,50,0.0,1014,10,10,237,7,voronezh
2019-10-29 15:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,0,6,7,6,12,28,62,0.0,1013,7,10,236,9,voronezh
2019-10-29 18:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,1,5,7,5,14,64,68,0.0,1014,7,10,241,9,voronezh
2019-10-29 21:00:00,10,5,0.0,8.7,3,1,08:23 AM,06:06 PM,07:11 AM,05:02 PM,2,4,6,4,15,40,76,0.1,1013,6,10,267,10,voronezh
2019-10-30 00:00:00,3,-2,0.0,7.0,2,8,09:45 AM,06:37 PM,07:13 AM,05:00 PM,1,2,5,2,18,40,75,0.0,1013,5,10,270,12,voronezh
2019-10-30 03:00:00,3,-2,0.0,7.0,2,8,09:45 AM,06:37 PM,07:13 AM,05:00 PM,1,-1,3,-1,22,22,86,0.0,1012,3,10,281,15,voronezh
2019-10-30 06:00:00,3,-2,0.0,7.0,2,8,09:45 AM,06:37 PM,07:13 AM,05:00 PM,-1,-2,3,-2,25,100,74,0.0,1013,3,10,289,18,voronezh
