date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-10-28 00:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-11,-14,-10,-14,9,94,95,0.0,1014,-10,2,76,5,yakutsk
2019-10-28 03:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-11,-13,-10,-13,8,94,95,0.0,1013,-10,2,67,4,yakutsk
2019-10-28 06:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-11,-13,-11,-13,8,88,95,0.0,1013,-11,2,74,4,yakutsk
2019-10-28 09:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-11,-12,-10,-12,5,72,91,0.0,1013,-10,10,66,3,yakutsk
2019-10-28 12:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-10,-7,-7,-7,2,100,81,0.0,1012,-7,10,64,1,yakutsk
2019-10-28 15:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-9,-7,-7,-7,5,58,85,0.0,1012,-7,10,50,3,yakutsk
2019-10-28 18:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-11,-10,-10,-10,1,66,93,0.0,1013,-10,10,3,0,yakutsk
2019-10-28 21:00:00,-7,-11,0.0,5.1,1,0,06:56 AM,05:05 PM,07:40 AM,04:29 PM,-11,-10,-10,-10,2,70,95,0.0,1012,-10,2,53,1,yakutsk
2019-10-29 00:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-11,-11,-11,-11,4,74,96,0.0,1012,-11,10,58,2,yakutsk
2019-10-29 03:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-11,-11,-11,-11,4,100,97,0.1,1011,-11,5,96,2,yakutsk
2019-10-29 06:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-12,-13,-11,-13,4,100,97,0.1,1011,-11,10,103,2,yakutsk
2019-10-29 09:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-11,-12,-10,-12,4,100,94,0.1,1010,-10,5,99,3,yakutsk
2019-10-29 12:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-10,-11,-9,-11,5,100,89,0.3,1009,-9,2,106,4,yakutsk
2019-10-29 15:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-9,-11,-8,-11,6,100,92,0.3,1007,-8,2,81,4,yakutsk
2019-10-29 18:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-10,-13,-9,-13,8,98,97,0.1,1008,-9,5,82,4,yakutsk
2019-10-29 21:00:00,-8,-11,1.0,3.3,1,1,08:37 AM,05:15 PM,07:42 AM,04:26 PM,-10,-13,-10,-13,8,97,97,0.2,1006,-10,5,81,4,yakutsk
2019-10-30 00:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-12,-16,-12,-16,12,74,98,0.0,1006,-12,0,103,6,yakutsk
2019-10-30 03:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-13,-17,-13,-17,14,79,98,0.0,1004,-13,10,98,7,yakutsk
2019-10-30 06:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-14,-18,-13,-18,17,61,97,0.0,1003,-13,2,103,8,yakutsk
2019-10-30 09:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-13,-17,-11,-17,17,66,92,0.0,1002,-11,10,102,8,yakutsk
2019-10-30 12:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-10,-14,-8,-14,17,58,85,0.0,1001,-8,10,92,12,yakutsk
2019-10-30 15:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-8,-12,-6,-12,19,43,86,0.0,1000,-6,10,87,13,yakutsk
2019-10-30 18:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-9,-14,-8,-14,22,83,94,0.0,1000,-8,10,87,13,yakutsk
2019-10-30 21:00:00,-6,-13,0.0,6.9,1,8,10:17 AM,05:29 PM,07:45 AM,04:23 PM,-10,-14,-9,-14,16,86,97,0.0,1001,-9,2,84,9,yakutsk
2019-10-31 00:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-11,-15,-10,-15,16,81,98,0.0,1002,-10,0,84,8,yakutsk
2019-10-31 03:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-11,-14,-10,-14,11,88,97,0.0,1002,-10,0,76,6,yakutsk
2019-10-31 06:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-10,-13,-10,-13,9,95,96,0.0,1004,-10,2,74,5,yakutsk
2019-10-31 09:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-10,-11,-9,-11,6,84,94,0.0,1005,-9,10,98,4,yakutsk
2019-10-31 12:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-8,-6,-6,-6,3,90,85,0.0,1006,-6,10,121,3,yakutsk
2019-10-31 15:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-6,-7,-6,-7,4,100,94,0.1,1008,-6,10,203,3,yakutsk
2019-10-31 18:00:00,-6,-10,1.0,3.3,1,12,11:52 AM,05:50 PM,07:48 AM,04:20 PM,-7,-9,-6,-9,13,87,97,0.4,1010,-6,2,233,7,yakutsk
